state,year,month,aqi
6,1994,1,456.5
7,1994,1,200.0
8,1994,1,243.0
11,1994,1,200.0
12,1994,1,200.0
13,1994,1,200.0
14,1994,1,230.33333333333334
19,1994,1,213.33333333333334
21,1994,1,255.5
23,1994,1,200.0
24,1994,1,490.5
26,1994,1,466.6666666666667
0,1994,2,200.0
2,1994,2,232.25
3,1994,2,340.5
4,1994,2,221.5
5,1994,2,200.0
6,1994,2,449.0
7,1994,2,200.0
8,1994,2,271.5
11,1994,2,200.0
12,1994,2,209.53846153846155
13,1994,2,200.0
14,1994,2,227.2
19,1994,2,207.33333333333334
21,1994,2,261.8
23,1994,2,200.0
24,1994,2,419.7692307692308
26,1994,2,257.6666666666667
0,1994,3,206.66666666666666
2,1994,3,200.0
3,1994,3,375.25
4,1994,3,223.0
5,1994,3,200.0
6,1994,3,395.625
7,1994,3,200.0
8,1994,3,265.5
11,1994,3,200.0
12,1994,3,205.0
13,1994,3,200.0
14,1994,3,237.0
19,1994,3,220.0
21,1994,3,320.0
23,1994,3,200.0
24,1994,3,486.5625
26,1994,3,290.85714285714283
0,1994,4,209.83333333333334
2,1994,4,200.0
3,1994,4,380.5
4,1994,4,204.0
6,1994,4,367.625
7,1994,4,200.0
8,1994,4,248.5
11,1994,4,200.0
12,1994,4,200.0
13,1994,4,200.0
14,1994,4,240.27272727272728
19,1994,4,200.0
21,1994,4,315.4
23,1994,4,200.0
24,1994,4,417.0833333333333
26,1994,4,242.0
0,1994,5,209.2
2,1994,5,200.0
3,1994,5,341.5
4,1994,5,204.0
5,1994,5,200.0
6,1994,5,470.25
7,1994,5,200.0
8,1994,5,259.5
11,1994,5,200.0
12,1994,5,202.15384615384616
13,1994,5,200.0
14,1994,5,231.36363636363637
19,1994,5,228.0
21,1994,5,438.9
23,1994,5,204.91666666666666
24,1994,5,542.0
26,1994,5,282.39722222222224
0,1994,6,200.0
2,1994,6,200.0
3,1994,6,211.75
4,1994,6,204.33333333333334
5,1994,6,200.0
6,1994,6,438.5
7,1994,6,200.0
8,1994,6,263.5
11,1994,6,200.0
12,1994,6,200.0
13,1994,6,200.0
14,1994,6,239.0
19,1994,6,221.66666666666666
21,1994,6,399.0
